Headline,Date,url,description,image,include,section,title,hero,original_image_url
Ice melt,1/21/10,https://flickr.com/photos/timmeko/4291692731/,Showing how glaciers have melted in Peru due to global warming.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/ice-melt_4291692731_o.jpg,,more,Ice melt,/assets/images/more-ice-melt_4291692731_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/ice-melt_4291692731_o.jpg
In the groove,1/21/10,https://flickr.com/photos/timmeko/4292431022/,The PGA is enacting new rules that change the way the grooves on the club face can be shaped.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/in-the-groove_4292431022_o.jpg,1,more,In the groove,/assets/images/more-in-the-groove_4292431022_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/in-the-groove_4292431022_o.jpg
Increasing door security,3/3/10,https://flickr.com/photos/timmeko/4404171179/,A look at a few ways to bulk up your doors.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/increasing-door-security_4404171179_o.jpg,1,more,Increasing door security,/assets/images/more-increasing-door-security_4404171179_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/increasing-door-security_4404171179_o.jpg
Inflation,8/3/09,https://flickr.com/photos/timmeko/3785517215/,A look at inflation over the past few years.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/inflation_3785517215_o.jpg,,more,Inflation,/assets/images/more-inflation_3785517215_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/inflation_3785517215_o.jpg
Initial Income Eligibility Thresholds,2/21/12,https://flickr.com/photos/timmeko/6916573493/,Design mockup for interactive map.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/initial-income-eligibility-thresholds_6916573493_o.jpg,,more,Initial Income Eligibility Thresholds,/assets/images/more-initial-income-eligibility-thresholds_6916573493_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/initial-income-eligibility-thresholds_6916573493_o.jpg
Inside a scrubber,8/3/09,https://flickr.com/photos/timmeko/3785528835/,,/Users/mekot/mcp-files/timmeko-dot-com/flickr/inside-a-scrubber_3785528835_o.jpg,1,more,Inside a scrubber,/assets/images/more-inside-a-scrubber_3785528835_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/inside-a-scrubber_3785528835_o.jpg
Inside the Conclave,2/28/13,https://flickr.com/photos/timmeko/8515024519/,The world watches with interest as cardinals gather in conclave to elect the next pope. This infographic was produced for the Catholic News Service.    The making of video can be seen here: youtu.be/-HfeVTVHdUk,/Users/mekot/mcp-files/timmeko-dot-com/flickr/inside-the-conclave_8515024519_o.jpg,1,more,Inside the Conclave,/assets/images/more-inside-the-conclave_8515024519_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/inside-the-conclave_8515024519_o.jpg
Interactive graphics,8/4/09,https://flickr.com/photos/timmeko/3788352297/,"I designed and programmed this interactive package about Buster Douglas, a Columbus native. Features include an interactive timeline with archived stories, photos and other content. video",/Users/mekot/mcp-files/timmeko-dot-com/flickr/interactive-graphics_3788352297_o.png,,more,Interactive graphics,/assets/images/more-interactive-graphics_3788352297_o.png,/Users/mekot/mcp-files/timmeko-dot-com/flickr/interactive-graphics_3788352297_o.png
Knee ligaments,1/21/10,https://flickr.com/photos/timmeko/4292432388/,Showing the ligaments of the knee.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/knee-ligaments_4292432388_o.jpg,,more,Knee ligaments,/assets/images/more-knee-ligaments_4292432388_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/knee-ligaments_4292432388_o.jpg
Lake testing,9/7/09,https://flickr.com/photos/timmeko/3896989871/,A look at the different tools that the Ohio EPA uses to examine the water quality in Ohio's inland lakes.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/lake-testing_3896989871_o.jpg,1,more,Lake testing,/assets/images/more-lake-testing_3896989871_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/lake-testing_3896989871_o.jpg
LeVeque penthouse,8/3/09,https://flickr.com/photos/timmeko/3785529613/,"The penthouse in the LeVeque tower in downtown Columbus was up for rent. Exactly what does $4,000 a month get you?",/Users/mekot/mcp-files/timmeko-dot-com/flickr/leveque-penthouse_3785529613_o.jpg,,more,LeVeque penthouse,/assets/images/more-leveque-penthouse_3785529613_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/leveque-penthouse_3785529613_o.jpg
Local Medicaid Expansion Estimates,2/25/14,https://flickr.com/photos/timmeko/12779437535/,"Wide Local Variation in Numbers of Poor Uninsured Americans Who Would Be Eligible for Medicaid if States Opt for ACA Expansion Created with ArcMap, Tilemill, Mapbox and HTML Full map here: www.urban.org/health_policy/health_care_reform/localmedic...",/Users/mekot/mcp-files/timmeko-dot-com/flickr/local-medicaid-expansion-estimates_12779437535_o.png,,more,Local Medicaid Expansion Estimates,/assets/images/more-local-medicaid-expansion-estimates_12779437535_o.png,/Users/mekot/mcp-files/timmeko-dot-com/flickr/local-medicaid-expansion-estimates_12779437535_o.png
